STATION	year	Chla.spme	Secc.spme	Sal.spme	Temp.spme	Temp.spmed	TP.spme	TP.spmed	TN.spme	Chla.summe	Chla.summax	Secc.summe	Secc.summed	Sal.summed	Sal.summax	Sal.summe	Temp.summin	Temp.summax	Temp.summe	Temp.summed	TP.summe	TN.summe	Sal.sumy1max	Temp.sumy1med	Temp.sumy1me	SpCluster	dens.weight.mean	dens.weight.mean.y1	dens.percomp.y1	dens.percomp	dens.percomp.change	denscomp.max	SAVArea
CB1.1	2000	3.9457999999999998	0.66	0	14.540000000000001	12.4	0.046	0.0438	1.3906399999999999	7.475	11.107	1.0285714285714285	1.1	0	0	0	18.1	29	24.4	25.2	0.03388571428571428	1.4178142857142857	0	25.2	24.4	Fresh	606.7029806845	404.1533502315	0.10824879485316048	0.16249986906034233	0.05425107420718185	3733.5598126495	2946.4435940900003
CB1.1	2001	7.2316	0.6	0	13.18	10.5	0.04456	0.0398	1.56724	11.548714285714286	15.251	1	0.9	0	0	0	20.5	28.9	26.071428571428573	27.8	0.03435714285714286	1.3487142857142858	0	25.2	24.4	Fresh	1013.4066882425	606.7029806845	0.16249986906034233	0.27143175390120283	0.1089318848408605	3733.5598126495	2956.57301327
CB1.1	2002	8.0738	0.68	0	13.9	14.3	0.036	0.0308	1.26262	9.996428571428572	20.036	0.8	0.7	0	0	0	14.3	29.1	23.942857142857143	27.5	0.038214285714285715	1.0317142857142856	0	27.8	26.071428571428573	Fresh	1443.1972538665	1013.4066882425	0.27143175390120283	0.38654724345833985	0.11511548955713702	3733.5598126495	3353.56404231
CB1.1	2003	11.6674	0.68	0	11.16	12.4	0.0457	0.0402	1.65412	12.310571428571428	18.84	0.7857142857142857	0.7	0	0	0	15.9	28.5	23.814285714285713	26.4	0.039285714285714285	1.6165714285714285	0	27.5	23.942857142857143	Fresh	808.6971968415	1443.1972538665	0.38654724345833985	0.216602180605649	-0.16994506285269084	3733.5598126495	2824.64193807
CB1.1	2004	9.379800000000001	0.5599999999999999	0	15.1	15.1	0.04242	0.0343	1.5808	8.117750000000001	16.946	0.6625	0.6499999999999999	0	0	0	19.4	28.6	24.6625	24.8	0.048025	1.7526875	0	26.4	23.814285714285713	Fresh	722.7514309685	808.6971968415	0.216602180605649	0.1935823897931887	-0.0230197908124603	3733.5598126495	3237.01140673
CB1.1	2005	6.504	0.84	0	12.86	15.8	0.06323999999999999	0.0244	1.73782	10.11575	15.55	0.9875	1	0	0	0	16.9	31.2	26.2375	28.05	0.026325	1.5769625	0	24.8	24.6625	Fresh	1681.6585754055	722.7514309685	0.1935823897931887	0.4504169371300685	0.25683454733687977	3733.5598126495	2982.15512809
CB1.1	2006	8.5754	1.08	0	15.22	17.7	0.02291	0.0209	1.4807	8.340375	12.56	0.775	0.8	0	0	0	19.1	30.3	25.45	25.9	0.03313125	1.282475	0	28.05	26.2375	Fresh	1530.6173770100002	1681.6585754055	0.4504169371300685	0.4099619274409873	-0.04045500968908122	3733.5598126495	3206.16044728
CB1.1	2007	4.9706	0.84	0	13.04	13.9	0.0263	0.0252	1.39762	8.396125	12.56	1.1375	1.15	0	0	0	18.7	29.9	25.775	26.4	0.02425	1.3133625	0	25.9	25.45	Fresh	2499.886335448	1530.6173770100002	0.4099619274409873	0.6695717923088447	0.2596098648678574	3733.5598126495	3698.49443304
CB1.1	2008	10.315	0.6	0	14.76	16.7	0.03329	0.0329	1.3557	15.130625	27.341	0.9625	0.95	0	0	0	16.7	30.5	25.55	27.25	0.02790625	1.2724	0	26.4	25.775	Fresh	3235.948023221	2499.886335448	0.6695717923088447	0.86671921319097	0.1971474208821253	3733.5598126495	4050.21365406
CB1.1	2009	9.3984	0.76	0	15.04	16.9	0.03616	0.0381	1.21844	7.796428571428572	11.214	1.1285714285714286	1	0	0	0	18.9	29.2	25.585714285714285	27.8	0.0332	1.249142857142857	0	27.25	25.55	Fresh	3314.631022115	3235.948023221	0.86671921319097	0.8877937379990146	0.02107452480804461	3733.5598126495	4098.98305572
CB1.1	2010	12.923	0.5666666666666667	0	13.733333333333334	16.1	0.04823333333333333	0.0289	1.437	10.976833333333333	14.525	1.1	1.1	0	0	0	18.2	29.2	26.116666666666667	27.35	0.027733333333333332	1.3446666666666667	0	27.8	25.585714285714285	Fresh	3374.6853476025	3314.631022115	0.8877937379990146	0.9038787422579614	0.01608500425894676	3733.5598126495	4110.96646575
CB1.1	2011	3.6310000000000002	0.3666666666666667	0	9.9	9.8	0.04416666666666667	0.0303	1.2073333333333334	11.309	26.7	0.7833333333333333	0.75	0	0	0	14.6	30	24.616666666666667	25.6	0.030183333333333333	1.3451666666666666	0	27.35	26.116666666666667	Fresh	2235.029888626	3374.6853476025	0.9038787422579614	0.5986324046700953	-0.3052463375878661	3733.5598126495	3164.21201062
CB1.1	2012	10.456	0.8333333333333334	0	15.200000000000001	17.1	0.027983333333333332	0.03245	1.2328666666666666	9.380666666666666	13.67	0.9166666666666667	0.8	0	0	0	19.6	30.2	26.05	27.299999999999997	0.03510833333333333	1.4076	0	25.6	24.616666666666667	Fresh	1907.93493598	2235.029888626	0.5986324046700953	0.5110229999572565	-0.08760940471283873	3733.5598126495	2429.3654916200003
CB1.1	2013	9.006666666666666	0.6	0	12.7	13.4	0.031116666666666667	0.0305	1.3392333333333333	12.8586	18.583	0.86	0.8	0	0	0	19	29.7	25.32	26.1	0.03691	1.2237	0	27.299999999999997	26.05	Fresh	1938.9748380075	1907.93493598	0.5110229999572565	0.5193367550824148	0.0083137551251583	3733.5598126495	2585.27567803
CB1.1	2014	7.808166666666667	0.5666666666666667	0	12.05	12.25	0.03505	0.0343	1.391	16.0615	21.627	0.8666666666666667	0.8500000000000001	0	0	0	19.5	28.65	25.475	27.3	0.030225000000000002	1.39875	0	26.1	25.32	Fresh	2163.1068310095	1938.9748380075	0.5193367550824148	0.5793684685807842	0.06003171349836933	3733.5598126495	2730.95968823
CB1.1	2015	10.68	0.4333333333333333	0	10.233333333333333	8.6	0.04356666666666666	0.0343	1.635	9.727666666666666	19.224	0.7333333333333334	0.75	0	0	0	19.7	29.5	25.366666666666667	25.450000000000003	0.0359	1.1866833333333333	0	27.3	25.475	Fresh	2283.2763380150004	2163.1068310095	0.5793684685807842	0.6115547768323246	0.03218630825154045	3733.5598126495	2930.4292293400003
CB1.1	2016	8.686333333333334	0.7333333333333333	0	12.766666666666666	12.5	0.028166666666666666	0.0265	1.3859	12.086166666666667	19.865	1.3166666666666667	1.5	0	0	0	15.7	29.7	26.316666666666666	27.95	0.028316666666666667	1.23605	0	25.450000000000003	25.366666666666667	Fresh	2534.982398173	2283.2763380150004	0.6115547768323246	0.6789719531435775	0.06741717631125288	3733.5598126495	3264.1326934999997
CB1.1	2017	1.3086666666666666	0.7	0	10.266666666666666	12.1	0.03323333333333334	0.0415	1.1572666666666667	5.3875	11.392	0.9500000000000001	1	0	0	0	13.5	28.8	23.9	26.5	0.033	1.2622666666666666	0	27.95	26.316666666666666	Fresh	2684.567128688	2534.982398173	0.6789719531435775	0.7190368611726919	0.04006490802911444	3733.5598126495	3417.225782
CB1.1	2018	10.062999999999999	0.7000000000000001	0	12.933333333333334	11.5	0.0316	0.0261	1.4755	11.529357142857144	23.763	0.5	0.5	0	0	0	19.9	29.9	24.15714285714286	23.5	0.06172857142857143	1.514857142857143	0	26.5	23.9	Fresh	2703.7269153525	2684.567128688	0.7190368611726919	0.7241686355719089	0.00513177439921697	3733.5598126495	3255.04910655
CB1.1	2019	5.583166666666667	0.6333333333333333	0	12.383333333333333	12.25	0.03546666666666667	0.0343	1.5186666666666666	8.615166666666667	20.719	0.7166666666666667	0.65	0	0	0	19.3	30.5	25.083333333333332	25.2	0.035633333333333336	1.4759833333333334	0	23.5	24.15714285714286	Fresh	2491.427450254	2703.7269153525	0.7241686355719089	0.6673061569317602	-0.0568624786401487	3733.5598126495	3125.545308
CB1.1	2020	4.799833333333334	0.7999999999999999	0	12.95	12.25	0.0281	0.0305	1.3960333333333332	7.151857142857143	11.036	1.1428571428571428	1.2	0	0	0	20.9	30.4	27.435714285714287	28.65	0.0257	1.471342857142857	0	25.2	25.083333333333332	Fresh	2783.2435123065	2491.427450254	0.6673061569317602	0.745466432030022	0.07816027509826184	3733.5598126495	3420.69786015
CB2.1	2000	5.3156	0.74	0	15.54	12.4	0.043	0.0388	1.36062	4.942	13.27	0.8571428571428572	0.8	0	0.92	0.13142857142857142	19.9	27.5	24.12857142857143	24.1	0.04398571428571429	1.2248428571428571	0.92	24.1	24.12857142857143	Fresh	270.0677401955	71.605136909	0.03499957043393576	0.1320052625123634	0.09700569207842766	2045.8861643504997	633.12020175
