STATION,YEAR,Cd,Ec,Hv,Ms,Nfl,Ngu,Nm,Pcr,Pe,Ppf,Ppu,Rm,Ppc,Va,Zp,Zm,totobs
WT3.1,1985,0.06896551724137931,0.034482758620689655,0.1724137931034483,0.4482758620689655,0,0.034482758620689655,0,0,0,0.034482758620689655,0,0,0.06896551724137931,0.13793103448275862,0,0,29
CB1.1,1986,0.3076923076923077,0,0.10256410256410256,0.46153846153846156,0,0,0,0.02564102564102564,0,0.07692307692307693,0,0,0,0.02564102564102564,0,0,39
RET5.1A,1987,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.1111111111111111,0.05555555555555555,0,18
RET5.1A,1989,0.3333333333333333,0,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,3
WT2.1,1990,0,0.2727272727272727,0,0.36363636363636365,0,0.09090909090909091,0,0,0,0,0,0,0,0.2727272727272727,0,0,11
WT2.1,1994,0.12612612612612611,0.36936936936936937,0,0.32432432432432434,0,0,0,0,0,0,0,0,0,0.18018018018018017,0,0,111
WT2.1,1996,0.12804878048780488,0.25609756097560976,0,0.32926829268292684,0,0,0,0,0,0.012195121951219513,0,0,0,0.23780487804878048,0.036585365853658534,0,164
ET4.2,1997,0,0.11188811188811189,0,0.25874125874125875,0,0,0,0,0,0.2902097902097902,0,0.21328671328671328,0.06293706293706294,0,0.06293706293706294,0,286
TF2.1,1998,0.13310580204778158,0,0.378839590443686,0.10921501706484642,0,0,0.14675767918088736,0,0,0,0,0,0.006825938566552901,0.22525597269624573,0,0,293
WT5.1,1998,0,0.10909090909090909,0,0.5818181818181818,0,0,0,0.05454545454545454,0,0.07272727272727272,0,0,0,0.05454545454545454,0.12727272727272726,0,55
WT5.1,2000,0,0,0,0.36363636363636365,0,0,0,0.09090909090909091,0,0,0,0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0,11
ET4.2,2002,0,0.09230769230769231,0,0.13846153846153847,0,0,0,0,0,0.35384615384615387,0,0.35384615384615387,0.06153846153846154,0,0,0,65
RET5.1A,2002,0.5217391304347826,0,0.34782608695652173,0,0,0,0.08695652173913043,0,0,0,0,0,0,0.043478260869565216,0,0,23
WT2.1,2002,0.15714285714285714,0.04285714285714286,0.11428571428571428,0.38571428571428573,0,0.014285714285714285,0,0.11428571428571428,0,0,0.02857142857142857,0,0.02857142857142857,0.11428571428571428,0,0,70
TF2.1,2003,0.1588785046728972,0,0.2616822429906542,0.16822429906542055,0,0.028037383177570093,0.16822429906542055,0,0,0,0,0,0,0.21495327102803738,0,0,107
TF2.1,2005,0.1989247311827957,0,0.34408602150537637,0.11827956989247312,0,0.026881720430107527,0.20430107526881722,0,0,0,0,0,0,0.10752688172043011,0,0,186
WT3.1,2005,0.09200968523002422,0.0036319612590799033,0,0.3523002421307506,0,0,0.002421307506053269,0.012106537530266344,0,0.08232445520581114,0.0012106537530266344,0,0,0.400726392251816,0.053268765133171914,0,826
TF2.1,2006,0.3548387096774194,0,0.0967741935483871,0.25806451612903225,0,0.06451612903225806,0.0967741935483871,0,0,0,0,0,0,0.12903225806451613,0,0,31
WT3.1,2006,0.005434782608695652,0,0,0.37318840579710144,0,0,0,0.05615942028985507,0,0.05253623188405797,0,0,0.009057971014492754,0.4746376811594203,0.028985507246376812,0,552
TF2.3,2007,0.1825726141078838,0,0.2074688796680498,0.22821576763485477,0,0.04564315352697095,0.1825726141078838,0,0,0.004149377593360996,0.012448132780082987,0,0,0.13692946058091288,0,0,241
WT5.1,2007,0.013605442176870748,0,0,0.10884353741496598,0,0,0,0.006802721088435374,0,0.1360544217687075,0.013605442176870748,0,0.05442176870748299,0.4013605442176871,0.2653061224489796,0,147
WT6.1,2007,0,0.04778156996587031,0,0.04436860068259386,0,0,0,0,0,0.3515358361774744,0.051194539249146756,0.08532423208191127,0.10921501706484642,0.020477815699658702,0.2901023890784983,0,293
WT3.1,2008,0.002285714285714286,0,0,0.44685714285714284,0,0,0,0.016,0,0.15771428571428572,0.008,0,0,0.368,0.001142857142857143,0,875
TF1.4,2009,0.20689655172413793,0.06896551724137931,0.3793103448275862,0.017241379310344827,0,0.08620689655172414,0.2413793103448276,0,0,0,0,0,0,0,0,0,58
TF2.1,2011,0.1834862385321101,0.009174311926605505,0.27522935779816515,0.12844036697247707,0,0.05504587155963303,0.10091743119266056,0.01834862385321101,0,0,0,0,0,0.22935779816513763,0,0,109
ET2.2,2016,0.05555555555555555,0,0.16666666666666666,0.1111111111111111,0,0,0.16666666666666666,0.05555555555555555,0,0.16666666666666666,0.1111111111111111,0,0,0.16666666666666666,0,0,18
ET2.2,2017,0.125,0,0.125,0.125,0,0,0.125,0.125,0,0.125,0.125,0,0,0.125,0,0,8
ET2.2,2019,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0,0,0.15384615384615385,0.07692307692307693,0,0,0.15384615384615385,0,0,0.15384615384615385,0,0,13
CB1.1,1985,0.3333333333333333,0,0.14285714285714285,0.42857142857142855,0,0,0,0,0,0.09523809523809523,0,0,0,0,0,0,21
TF2.1,1985,0.21875,0,0.23125,0.275,0,0.08125,0,0,0,0,0,0,0.01875,0.15,0.025,0,160
TF2.2,1985,0.23529411764705882,0,0.19607843137254902,0.37254901960784315,0,0.0196078431372549,0,0,0,0,0,0,0,0.17647058823529413,0,0,51
WT2.1,1985,0.14285714285714285,0.14285714285714285,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,7
XFB1986,1985,0.3125,0,0.25,0.3125,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,16
CB2.2,1986,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0.1,0.3,0,0,10
