STATION,CBSEG_2003,LATITUDE,LONGITUDE
TF5.4,APPTF,37.3124,-77.29133
WT4.1,BACOH,39.28344,-76.44968
ET9.1,BIGMH,38.05846,-75.80798
ET2.2,BOHOH,39.46678,-75.87466
WT1.1,BSHOH,39.43344,-76.24134
ET2.1,C&DOH,39.52511,-75.81632
CB1.1,CB1TF,39.54511,-76.08134
CB2.1,CB1TF,39.44011,-76.02467
CB2.2,CB2OH,39.34678,-76.17467
CB3.1,CB2OH,39.24844,-76.23801
CB3.2,CB3MH,39.16344,-76.30634
CB3.3C,CB3MH,38.99511,-76.35968
CB3.3E,CB3MH,39.00178,-76.34634
CB3.3W,CB3MH,39.00344,-76.38802
CB4.1C,CB4MH,38.82512,-76.39967
CB4.1E,CB4MH,38.81651,-76.37106
CB4.1W,CB4MH,38.81345,-76.46273
CB4.2C,CB4MH,38.64484,-76.41773
CB4.2E,CB4MH,38.64484,-76.39995
CB4.2W,CB4MH,38.64345,-76.50134
CB4.3C,CB4MH,38.55651,-76.43467
CB4.3E,CB4MH,38.55651,-76.38967
CB4.3W,CB4MH,38.55651,-76.49301
CB4.4,CB4MH,38.41318,-76.343
CB5.1,CB5MH,38.31845,-76.293
CB5.1W,CB5MH,38.32512,-76.3755
CB5.2,CB5MH,38.13679,-76.228
CB5.3,CB5MH,37.91179,-76.168
CB5.4,CB5MH,37.80013,-76.17466
CB5.4W,CB5MH,37.81347,-76.29467
CB5.5,CB5MH,37.6918,-76.18967
CB6.1,CB6PH,37.58847,-76.16216
CB6.2,CB6PH,37.4868,-76.15633
CB6.3,CB6PH,37.41153,-76.15966
CB6.4,CB6PH,37.23653,-76.20799
CB7.1,CB7PH,37.68346,-75.98966
CB7.1N,CB7PH,37.77513,-75.97466
CB7.1S,CB7PH,37.58124,-76.05799
CB7.2,CB7PH,37.41153,-76.07966
CB7.2E,CB7PH,37.41153,-76.02466
CB7.3,CB7PH,37.11681,-76.12521
CB7.3E,CB7PH,37.22875,-76.05383
CB7.4N,CB7PH,37.06237,-75.99937
EE3.5,CB7PH,37.79652,-75.84438
CB7.4,CB8PH,36.9957,-76.02048
CB8.1,CB8PH,36.99542,-76.16772
CB8.1E,CB8PH,36.94737,-76.03494
RET5.1A,CHKOH,37.3123,-76.87672
EE2.1,CHOMH1,38.65012,-76.27467
ET5.2,CHOMH2,38.58012,-76.058
ET5.1,CHOOH,38.80706,-75.91188
ET4.2,CHSMH,38.99178,-76.21634
ET4.1,CHSOH,39.24372,-75.9246
LE3.3,CRRMH,37.68842,-76.47442
EE1.1,EASMH,38.88345,-76.24967
EBE1,EBEMH,36.8407,-76.28911
ELI2,ELIPH,36.88237,-76.33883
LE5.6,ELIPH,36.90456,-76.33836
ET2.3,ELKOH,39.50845,-75.89967
EE3.0,FSBMH,38.28345,-76.01633
WT2.1,GUNOH,39.38344,-76.34162
LE5.2,JMSMH,37.056,-76.59306
LE5.3,JMSMH,36.99044,-76.47544
LE5.1,JMSOH,37.20297,-76.64833
RET5.2,JMSOH,37.20294,-76.78219
LE5.4,JMSPH,36.95486,-76.39275
TF5.2,JMSTF,37.5305,-77.434
TF5.2A,JMSTF,37.45,-77.41883
TF5.3,JMSTF,37.4031,-77.39272
TF5.5,JMSTF,37.31265,-77.23283
TF5.5A,JMSTF,37.30165,-77.1284
TF5.6,JMSTF,37.27272,-76.99057
EE2.2,LCHMH,38.53345,-76.30801
WT6.1,MAGMH,39.07511,-76.47469
ET8.1,MANMH,38.14179,-75.81632
MAT0016,MATTF,38.56484,-77.19331
MAT0078,MATTF,38.58845,-77.11859
WT3.1,MIDOH,39.30011,-76.39968
WE4.1,MOBPH,37.31181,-76.34634
WE4.2,MOBPH,37.24181,-76.38634
WE4.3,MOBPH,37.17681,-76.373
WE4.4,MOBPH,37.11015,-76.293
RET4.2,MPNOH,37.57125,-76.79715
TF4.4,MPNTF,37.7228,-77.02566
ET6.2,NANMH,38.33345,-75.88299
ET6.1,NANTF,38.53345,-75.71632
ET1.1,NORTF,39.57512,-75.958
WT5.1,PATMH,39.20844,-76.52469
LE1.1,PAXMH,38.42513,-76.60162
LE1.2,PAXMH,38.37873,-76.51106
LE1.3,PAXMH,38.34068,-76.48801
LE1.4,PAXMH,38.31207,-76.42134
RET1.1,PAXMH,38.49068,-76.66413
TF1.6,PAXOH,38.6579,-76.68441
TF1.7,PAXOH,38.58179,-76.68024
TF1.3,PAXTF,38.81039,-76.71219
TF1.4,PAXTF,38.77289,-76.70997
TF1.5,PAXTF,38.71012,-76.70135
LE3.7,PIAMH,37.53069,-76.30661
PIS0033,PISTF,38.69845,-76.98664
XFB1986,PISTF,38.69762,-77.02303
RET4.1,PMKOH,37.52564,-76.86761
TF4.2,PMKTF,37.57999,-77.02128
EE3.3,POCMH,37.94179,-75.76632
EE3.4,POCMH,37.90846,-75.79132
ET10.1,POCTF,38.08345,-75.56631
LE2.2,POTMH,38.16679,-76.58302
LE2.3,POTMH,38.02151,-76.34772
RET2.4,POTMH,38.36263,-76.99053
RET2.1,POTOH,38.40346,-77.26915
RET2.2,POTOH,38.35207,-77.20442
TF2.1,POTTF,38.7065,-77.04859
TF2.2,POTTF,38.69067,-77.11109
TF2.3,POTTF,38.60817,-77.17387
TF2.4,POTTF,38.52984,-77.26526
WT8.2,RHDMH,38.88345,-76.53301
LE3.1,RPPMH,37.75925,-76.61592
LE3.2,RPPMH,37.66914,-76.55047
LE3.4,RPPMH,37.63189,-76.44486
LE3.6,RPPMH,37.5968,-76.28467
RET3.1,RPPMH,37.9173,-76.8222
RET3.2,RPPMH,37.81158,-76.71195
TF3.3,RPPOH,38.01847,-76.90928
TF3.1B,RPPTF,38.24625,-77.23331
TF3.1E,RPPTF,38.24461,-77.32508
TF3.2,RPPTF,38.17553,-77.18786
TF3.2A,RPPTF,38.11295,-77.05482
ET3.1,SASOH,39.36678,-75.883
SBE2,SBEMH,36.81265,-76.30577
SBE5,SBEMH,36.76987,-76.29605
WT7.1,SEVMH,39.00678,-76.5046
WT8.1,SOUMH,38.93344,-76.51635
EE3.1,TANMH,38.20012,-75.97466
EE3.2,TANMH,37.9801,-75.92467
WBE1,WBEMH,36.8432,-76.35939
WXT0001,WBRTF,38.78539,-76.71385
ET7.1,WICMH,38.26679,-75.79132
WT8.3,WSTMH,38.85012,-76.53301
LE4.1,YRKMH,37.41883,-76.69125
RET4.3,YRKMH,37.50869,-76.78889
LE4.2,YRKPH,37.29044,-76.57811
LE4.3,YRKPH,37.23392,-76.43094
LE5.5-W,JMSPH,36.99903,-76.31328
LE5.5,JMSPH,36.99903,-76.31328
XHH4742,CHSMH,39.07807,-76.0972
