usgs_no,year_nu,month_nu,discharge_cufs,site
1674500,1984,1,907.1,mattaponi
1674500,1984,2,1209,mattaponi
1674500,1984,3,1882,mattaponi
1674500,1984,4,3291,mattaponi
1674500,1984,5,985.1,mattaponi
1674500,1984,6,453.9,mattaponi
1674500,1984,7,844.7,mattaponi
1674500,1984,8,582.4,mattaponi
1674500,1984,9,132.7,mattaponi
1674500,1984,10,269.5,mattaponi
1674500,1984,11,362.9,mattaponi
1674500,1984,12,579.7,mattaponi
1674500,1985,1,578.7,mattaponi
1674500,1985,2,1107,mattaponi
1674500,1985,3,464.6,mattaponi
1674500,1985,4,300.5,mattaponi
1674500,1985,5,173.2,mattaponi
1674500,1985,6,246.8,mattaponi
1674500,1985,7,69.7,mattaponi
1674500,1985,8,465.5,mattaponi
1674500,1985,9,153,mattaponi
1674500,1985,10,614.6,mattaponi
1674500,1985,11,1240,mattaponi
1674500,1985,12,912.5,mattaponi
1674500,1986,1,512.6,mattaponi
1674500,1986,2,824.6,mattaponi
1674500,1986,3,594.8,mattaponi
1674500,1986,4,449,mattaponi
1674500,1986,5,329.7,mattaponi
1674500,1986,6,70.1,mattaponi
1674500,1986,7,88.2,mattaponi
1674500,1986,8,137.5,mattaponi
1674500,1986,9,57.8,mattaponi
1674500,1986,10,65.7,mattaponi
1674500,1986,11,163.5,mattaponi
1674500,1986,12,757.5,mattaponi
1674500,1987,1,757.9,mattaponi
1674500,1987,2,936.9,mattaponi
1674500,1987,3,817,mattaponi
1674500,1987,4,1540,mattaponi
1674500,1987,5,1068,mattaponi
1674500,1987,6,593.4,mattaponi
1674500,1987,7,154.4,mattaponi
1674500,1987,8,60.3,mattaponi
1674500,1987,9,196.5,mattaponi
1674500,1987,10,113.8,mattaponi
1674500,1987,11,371,mattaponi
1674500,1987,12,839.7,mattaponi
1674500,1988,1,924.4,mattaponi
1674500,1988,2,852.8,mattaponi
1674500,1988,3,493.5,mattaponi
1674500,1988,4,543.4,mattaponi
1674500,1988,5,711.5,mattaponi
1674500,1988,6,184.4,mattaponi
1674500,1988,7,104.2,mattaponi
1674500,1988,8,82.7,mattaponi
1674500,1988,9,55.7,mattaponi
1674500,1988,10,57.8,mattaponi
1674500,1988,11,192.1,mattaponi
1674500,1988,12,275.8,mattaponi
1674500,1989,1,278.4,mattaponi
1674500,1989,2,449.7,mattaponi
1674500,1989,3,1096,mattaponi
1674500,1989,4,740.1,mattaponi
1674500,1989,5,1279,mattaponi
1674500,1989,6,546.9,mattaponi
1674500,1989,7,405.7,mattaponi
1674500,1989,8,335.5,mattaponi
1674500,1989,9,560.2,mattaponi
1674500,1989,10,564.7,mattaponi
1674500,1989,11,559.2,mattaponi
1674500,1989,12,450.8,mattaponi
1674500,1990,1,1143,mattaponi
1674500,1990,2,1109,mattaponi
1674500,1990,3,710.5,mattaponi
1674500,1990,4,1054,mattaponi
