site,usgs_no,year_nu,month_nu,discharge_cufs
potomac,1646500,1984,1,10460
potomac,1646500,1984,2,39460
potomac,1646500,1984,3,34430
potomac,1646500,1984,4,47860
potomac,1646500,1984,5,19930
potomac,1646500,1984,6,5433
potomac,1646500,1984,7,6641
potomac,1646500,1984,8,11350
potomac,1646500,1984,9,3257
potomac,1646500,1984,10,3179
potomac,1646500,1984,11,4986
potomac,1646500,1984,12,11910
potomac,1646500,1985,1,7216
potomac,1646500,1985,2,20860
potomac,1646500,1985,3,13030
potomac,1646500,1985,4,11480
potomac,1646500,1985,5,9686
potomac,1646500,1985,6,7575
potomac,1646500,1985,7,3719
potomac,1646500,1985,8,2825
potomac,1646500,1985,9,1755
potomac,1646500,1985,10,3365
potomac,1646500,1985,11,42030
potomac,1646500,1985,12,16700
potomac,1646500,1986,1,5500
potomac,1646500,1986,2,25500
potomac,1646500,1986,3,25240
potomac,1646500,1986,4,11880
potomac,1646500,1986,5,6841
potomac,1646500,1986,6,2856
potomac,1646500,1986,7,1885
potomac,1646500,1986,8,1452
potomac,1646500,1986,9,962.5
potomac,1646500,1986,10,1034
potomac,1646500,1986,11,3705
potomac,1646500,1986,12,12000
potomac,1646500,1987,1,11160
potomac,1646500,1987,2,12680
potomac,1646500,1987,3,16180
potomac,1646500,1987,4,45580
potomac,1646500,1987,5,15300
potomac,1646500,1987,6,5387
potomac,1646500,1987,7,4434
potomac,1646500,1987,8,1089
potomac,1646500,1987,9,7098
potomac,1646500,1987,10,2630
potomac,1646500,1987,11,5160
potomac,1646500,1987,12,11580
potomac,1646500,1988,1,13320
potomac,1646500,1988,2,12080
potomac,1646500,1988,3,8315
potomac,1646500,1988,4,11680
potomac,1646500,1988,5,38930
potomac,1646500,1988,6,6130
potomac,1646500,1988,7,2342
potomac,1646500,1988,8,1536
potomac,1646500,1988,9,2150
potomac,1646500,1988,10,1472
potomac,1646500,1988,11,3811
potomac,1646500,1988,12,2625
potomac,1646500,1989,1,7620
potomac,1646500,1989,2,6873
potomac,1646500,1989,3,19810
potomac,1646500,1989,4,10570
potomac,1646500,1989,5,40410
potomac,1646500,1989,6,13220
potomac,1646500,1989,7,11980
potomac,1646500,1989,8,6452
potomac,1646500,1989,9,5024
potomac,1646500,1989,10,9067
potomac,1646500,1989,11,7877
potomac,1646500,1989,12,3767
potomac,1646500,1990,1,13530
potomac,1646500,1990,2,17010
potomac,1646500,1990,3,7403
potomac,1646500,1990,4,12260
potomac,1646500,1990,5,13000
potomac,1646500,1990,6,9532
potomac,1646500,1990,7,6039
potomac,1646500,1990,8,4236
potomac,1646500,1990,9,2762
potomac,1646500,1990,10,17560
potomac,1646500,1990,11,7338
potomac,1646500,1990,12,14990
potomac,1646500,1991,1,35700
potomac,1646500,1991,2,12390
potomac,1646500,1991,3,25840
potomac,1646500,1991,4,16090
potomac,1646500,1991,5,6145
potomac,1646500,1991,6,2509
potomac,1646500,1991,7,2029
potomac,1646500,1991,8,1835
potomac,1646500,1991,9,1308
potomac,1646500,1991,10,1116
potomac,1646500,1991,11,1351
potomac,1646500,1991,12,4753
potomac,1646500,1992,1,6587
potomac,1646500,1992,2,6433
potomac,1646500,1992,3,19010
